 Periods ,solar_roof,temp,heat_1,elec_1,heat_2,elec_2,heat_3,elec_3
1378,0.579823261,-7.2,1.01E+03,4.21E+02,2.00E+02,8.39E+01,2.56E+01,1.05E+01
1379,0.772066147,-6.7,9.99E+02,4.21E+02,2.01E+02,8.39E+01,2.32E+01,1.05E+01
1380,0.783685828,-5.7,8.79E+02,8.42E+02,1.99E+02,1.68E+02,1.94E+01,2.10E+01
1381,0.71215627,-5.1,3.02E+02,1.20E+03,1.86E+02,2.40E+02,6.83E+00,3.00E+01
1382,0.625418027,-5,2.96E+02,5.41E+02,1.86E+02,1.08E+02,6.08E+00,1.35E+01
1383,0.572919091,-5.2,2.90E+02,4.21E+02,1.77E+02,8.39E+01,6.20E+00,1.05E+01
1384,0.380345055,-5.2,2.23E+02,4.21E+02,1.29E+02,8.39E+01,2.64E+00,1.05E+01
1385,0.189038215,-5.7,1.84E+02,8.42E+02,1.21E+02,1.68E+02,0.00E+00,2.10E+01
1386,0.052040471,-6.6,1.94E+02,1.20E+03,1.36E+02,2.40E+02,6.16E+00,3.00E+01
1387,0,-7.2,1.92E+02,8.42E+02,1.32E+02,1.68E+02,3.39E+00,2.10E+01
1388,0,-7.5,1.88E+02,7.21E+02,1.33E+02,1.44E+02,3.39E+00,1.80E+01
1389,0,-7.8,1.96E+02,4.21E+02,1.39E+02,8.39E+01,6.66E+00,1.05E+01
1390,0,-8,2.07E+02,4.21E+02,1.38E+02,8.39E+01,2.76E+00,1.05E+01
1391,0,-8.3,2.21E+02,4.21E+02,1.42E+02,8.39E+01,4.77E+00,1.05E+01
1392,0,-8.6,7.48E+02,1.81E+02,1.56E+02,3.60E+01,1.75E+01,4.50E+00
1393,0,-8.8,7.22E+02,1.20E+02,1.61E+02,2.40E+01,1.75E+01,3.00E+00
1394,0,-9,6.89E+02,1.20E+02,1.47E+02,2.40E+01,1.61E+01,3.00E+00
1395,0,-9.1,6.81E+02,1.20E+02,1.54E+02,2.40E+01,1.62E+01,3.00E+00
1396,0,-9.3,6.76E+02,1.20E+02,1.42E+02,2.40E+01,1.98E+01,3.00E+00
1397,0,-9.3,6.70E+02,1.20E+02,1.37E+02,2.40E+01,1.56E+01,3.00E+00
1398,0,-9.4,6.68E+02,1.20E+02,1.42E+02,2.40E+01,1.49E+01,3.00E+00
1399,0,-9.6,6.73E+02,5.41E+02,1.42E+02,1.08E+02,1.86E+01,1.35E+01
1400,0.003691521,-8.8,6.67E+02,1.08E+03,1.36E+02,2.16E+02,1.48E+01,2.70E+01
1401,0.016307453,-7.3,6.69E+02,5.41E+02,1.43E+02,1.08E+02,1.62E+01,1.35E+01
1402,0.026926007,-5.9,6.79E+02,4.21E+02,1.43E+02,8.39E+01,1.92E+01,1.05E+01
1403,0.034430631,-4.9,6.77E+02,4.21E+02,1.37E+02,8.39E+01,1.62E+01,1.05E+01
1404,0.05709991,-3.9,6.86E+02,8.42E+02,1.45E+02,1.68E+02,1.57E+01,2.10E+01
1405,0.17144628,-3.4,6.90E+02,1.20E+03,1.42E+02,2.40E+02,1.85E+01,3.00E+01
1406,0.563339228,-2.9,7.23E+02,5.41E+02,1.59E+02,1.08E+02,1.57E+01,1.35E+01
1407,0.547168919,-2.5,7.57E+02,4.21E+02,1.68E+02,8.39E+01,2.01E+01,1.05E+01
1408,0.426997005,-3.1,8.09E+02,4.21E+02,1.76E+02,8.39E+01,2.08E+01,1.05E+01
1409,0.233301778,-2.7,8.28E+02,8.42E+02,1.77E+02,1.68E+02,2.09E+01,2.10E+01
1410,0.080791595,-2.4,8.62E+02,1.20E+03,1.88E+02,2.40E+02,2.08E+01,3.00E+01
1411,0,-2.3,8.68E+02,8.42E+02,1.90E+02,1.68E+02,2.09E+01,2.10E+01
1412,0,-2.3,9.13E+02,7.21E+02,2.00E+02,1.44E+02,2.31E+01,1.80E+01
1413,0,-2.4,9.52E+02,4.21E+02,1.98E+02,8.39E+01,2.34E+01,1.05E+01
1414,0,-2.1,9.88E+02,4.21E+02,2.00E+02,8.39E+01,2.33E+01,1.05E+01
